id;codigo;producto;garantia;precio_publico;precio_gremio;stock;image_url;created_at;updated_at;created_by;precio_total;categoria;sub_categoria;Es_Nuevo?
00376686-d592-4ae3-9f3a-259a915f8cf5;HW-20251201-182744-4070081;CARTUCHO EPSON T673220-AL CYAN P/L800;0;50742.64;42285.43;1;http://190.183.223.6/gold/images/hp/T673220-AL.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;48629;Periféricos;Impresoras/Insumos;NO
7f5ffe79-a0df-4a49-9f8f-02d4284c3d6d;HW-20251201-182744-5860083;CARTUCHO EPSON T673320-AL MAGENTA P/L800;0;50742.64;42285.43;1;http://190.183.223.6/gold/images/hp/T673320-AL.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;48629;Periféricos;Impresoras/Insumos;NO
4c4fcccf-ee12-4106-b15c-ca54743f05b7;HW-20251201-182744-4250082;CARTUCHO EPSON T673520-AL LIGHT CYAN P/L800;0;50742.64;42285.43;1;http://190.183.223.6/gold/images/hp/T673520-AL.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;48629;Periféricos;Impresoras/Insumos;NO
e827ab3b-eddd-4b7d-bcfd-19152331fd7c;HW-20251201-182744-9980129;CARTUCHO Global Electronics 920 AMARILLO HP 920;0;8004.30;6670.27;1;data:image/jpeg;;;;;;;
5a994035-372b-4432-9099-5623aa8406df;HW-20251201-182744-0170128;CARTUCHO Global Electronics 920 CIAN HP 920;0;8004.30;6670.27;1;data:image/jpeg;;;;;;;
612a884a-7650-4179-a1fe-a137073ee021;HW-20251201-182744-8510130;CARTUCHO Global Electronics 920 MAGENTA HP 920;0;8004.30;6670.27;1;data:image/jpeg;;;;;;;
98603a9d-0677-4ed8-8cf5-6a2e71dc78bd;HW-20251201-182744-4810127;CARTUCHO Global Electronics 920 NEGRO HP 920;0;10241.49;8534.53;1;data:image/jpeg;;;;;;;
3a7bdba7-eb5d-4c29-872f-53065ce38031;HW-20251201-182744-7890131;CARTUCHO Global Electronics 932 NEGRO HP 933;0;17338.36;14448.63;1;data:image/jpeg;;;;;;;
968a99b3-3b88-4a57-bb79-52a59ce649f1;HW-20251201-182744-7520133;CARTUCHO Global Electronics 933 AMARILLO HP 933;0;16571.75;13809.77;1;data:image/jpeg;;;;;;;
c53653a0-f3d4-4bc7-8818-05547936eb7f;HW-20251201-182744-5910132;CARTUCHO Global Electronics 933 CIAN HP 933;0;16571.75;13809.77;1;data:image/jpeg;;;;;;;
438343eb-ff0e-4966-aebe-c42aec3ed5f8;HW-20251201-182744-0910134;CARTUCHO Global Electronics 933 MAGENTA HP 933;0;16571.75;13809.77;1;data:image/jpeg;;;;;;;
